# MOCK DATA — NOT FROM MTA. For hackathon training only.
log_id,timestamp,line,station,severity,event_type,message,operator_id
L-000000,2026-05-18T04:00:00+00:00,L3,Summit,INFO,signal.green,Signal SG-17 at Summit cleared to GREEN for L3.,OP-122
L-000001,2026-05-18T04:00:31+00:00,L1,Tideway,INFO,train.dwell,Train 1601 dwelled 30s at Tideway (L1).,OP-144
L-000002,2026-05-18T04:01:06+00:00,L1,Orchard,INFO,signal.green,Signal SG-75 at Orchard cleared to GREEN for L1.,OP-395
L-000003,2026-05-18T04:00:45+00:00,L1,Quarry,INFO,train.dwell,Train 2125 dwelled 30s at Quarry (L1).,OP-454
L-000004,2026-05-18T04:03:28+00:00,L1,Eastgate,INFO,signal.green,Signal SG-40 at Eastgate cleared to GREEN for L1.,OP-193
L-000005,2026-05-18T04:03:05+00:00,L3,Atlas,CRITICAL,power.trip,Traction power trip on L3 sector 8-B; standby supply engaged.,OP-773
L-000006,2026-05-18T04:02:12+00:00,L3,Pioneer,INFO,signal.green,Signal SG-80 at Pioneer cleared to GREEN for L3.,OP-929
L-000007,2026-05-18T04:05:08+00:00,L3,Meridian,WARN,speed.restriction,"Temporary speed restriction issued: L3 between Meridian and Keystone, limit 40 km/h.",OP-192
L-000008,2026-05-18T04:02:08+00:00,L1,Atlas,INFO,train.departure,Train 2841 departed Atlas on L1 at speed 60 km/h.,OP-478
L-000009,2026-05-18T04:03:27+00:00,L3,Orchard,INFO,train.dwell,Train 1219 dwelled 30s at Orchard (L3).,OP-385
L-000010,2026-05-18T04:03:40+00:00,L1,Summit,INFO,signal.green,Signal SG-85 at Summit cleared to GREEN for L1.,OP-995
L-000011,2026-05-18T04:10:38+00:00,L2,Lantern,INFO,train.dwell,Train 1156 dwelled 60s at Lantern (L2).,OP-854
L-000012,2026-05-18T04:09:24+00:00,L1,Eastgate,INFO,signal.green,Signal SG-42 at Eastgate cleared to GREEN for L1.,OP-606
L-000013,2026-05-18T04:04:07+00:00,L2,Northpoint,INFO,signal.green,Signal SG-87 at Northpoint cleared to GREEN for L2.,OP-584
L-000014,2026-05-18T04:06:32+00:00,L1,Harbor,INFO,train.dwell,Train 1349 dwelled 60s at Harbor (L1).,OP-640
L-000015,2026-05-18T04:03:45+00:00,L2,Orchard,INFO,signal.green,Signal SG-32 at Orchard cleared to GREEN for L2.,OP-813
L-000016,2026-05-18T04:13:04+00:00,L1,Orchard,WARN,doors.held,Doors held open on train 1068 at Orchard for 60s (threshold 45s).,OP-865
L-000017,2026-05-18T04:06:48+00:00,L3,Granite,ERROR,axle.counter,"Axle counter AC-49 on L3 discrepancy at Granite: counted 2, expected 7.",OP-542
L-000018,2026-05-18T04:13:12+00:00,L2,Dune,INFO,signal.green,Signal SG-91 at Dune cleared to GREEN for L2.,OP-903
L-000019,2026-05-18T04:17:06+00:00,L3,Atlas,INFO,train.dwell,Train 2464 dwelled 30s at Atlas (L3).,OP-875
L-000020,2026-05-18T04:18:20+00:00,L3,Atlas,WARN,comms.jitter,Comms jitter to wayside controller WC-22 on L3: 215ms (>120ms).,OP-904
L-000021,2026-05-18T04:12:15+00:00,L2,Iris,ERROR,trackcircuit.shunt,Track circuit TC-231 on L2 reporting persistent shunt near Iris.,OP-377
L-000022,2026-05-18T04:15:46+00:00,L2,Meridian,INFO,train.departure,Train 1594 departed Meridian on L2 at speed 60 km/h.,OP-971
